rodada,data,mandante,visitante,vencedor,mandante_gols,visitante_gols
19,2003-07-17,Sao Paulo,Athletico-PR,Sao Paulo,2,0
20,2003-07-19,Fluminense,Santos,Santos,1,4
20,2003-07-19,Corinthians,Guarani,Corinthians,1,0
20,2003-07-19,Fortaleza,Atletico-MG,Fortaleza,4,3
20,2003-07-19,Internacional,Figueirense,Internacional,3,0
20,2003-07-20,Juventude,Paysandu,Juventude,2,0
20,2003-07-20,Athletico-PR,Bahia,Athletico-PR,2,1
20,2003-07-20,Ponte Preta,Coritiba,-,1,1
20,2003-07-20,Criciuma,Flamengo,Criciuma,4,3
20,2003-07-20,Goias,Sao Caetano,Goias,2,1
20,2003-07-20,Vitoria,Sao Paulo,Sao Paulo,0,2
20,2003-07-20,Cruzeiro,Parana,Cruzeiro,5,1
20,2003-07-20,Vasco,Gremio,Vasco,2,0
21,2003-07-23,Parana,Fortaleza,Parana,4,1
21,2003-07-23,Atletico-MG,Juventude,Atletico-MG,2,1
21,2003-07-23,Paysandu,Cruzeiro,Paysandu,3,0
21,2003-07-23,Guarani,Athletico-PR,Guarani,1,0
21,2003-07-23,Figueirense,Vasco,-,0,0
21,2003-07-23,Santos,Goias,-,3,3
21,2003-07-23,Bahia,Corinthians,-,0,0
21,2003-07-24,Coritiba,Vitoria,-,1,1
21,2003-07-24,Gremio,Criciuma,Criciuma,0,2
21,2003-07-24,Flamengo,Internacional,Flamengo,2,1
21,2003-07-24,Sao Caetano,Fluminense,Sao Caetano,2,0
21,2003-07-24,Sao Paulo,Ponte Preta,Ponte Preta,1,2
22,2003-07-26,Santos,Vasco,Santos,2,1
22,2003-07-26,Goias,Atletico-MG,-,1,1
22,2003-07-26,Athletico-PR,Paysandu,-,1,1
22,2003-07-27,Fortaleza,Ponte Preta,Ponte Preta,2,3
22,2003-07-27,Juventude,Fluminense,Juventude,2,1
22,2003-07-27,Flamengo,Sao Paulo,-,1,1
22,2003-07-27,Criciuma,Coritiba,Coritiba,2,3
22,2003-07-27,Guarani,Figueirense,Guarani,3,0
22,2003-07-27,Vitoria,Parana,Parana,0,3
22,2003-07-27,Corinthians,Gremio,Corinthians,1,0
22,2003-07-27,Cruzeiro,Bahia,Cruzeiro,5,2
22,2003-07-27,Internacional,Sao Caetano,-,0,0
15,2003-07-30,Athletico-PR,Santos,Santos,0,2
15,2003-07-30,Goias,Ponte Preta,-,0,0
19,2003-07-31,Parana,Criciuma,Parana,2,1
23,2003-08-02,Fluminense,Cruzeiro,-,2,2
23,2003-08-02,Gremio,Santos,Gremio,2,0
23,2003-08-02,Sao Paulo,Internacional,Internacional,0,2
23,2003-08-02,Sao Caetano,Juventude,-,1,1
23,2003-08-03,Figueirense,Goias,Goias,0,1
23,2003-08-03,Parana,Corinthians,-,1,1
23,2003-08-03,Paysandu,Guarani,Paysandu,6,1
23,2003-08-03,Coritiba,Fortaleza,-,1,1
23,2003-08-03,Bahia,Criciuma,-,2,2
23,2003-08-03,Ponte Preta,Flamengo,-,1,1
23,2003-08-03,Vasco,Athletico-PR,Vasco,2,1
23,2003-08-03,Atletico-MG,Vitoria,Atletico-MG,1,0
24,2003-08-06,Vitoria,Paysandu,-,1,1
24,2003-08-06,Athletico-PR,Parana,Athletico-PR,1,0
24,2003-08-06,Criciuma,Sao Caetano,Sao Caetano,0,1
24,2003-08-06,Fortaleza,Fluminense,Fortaleza,3,1
24,2003-08-06,Juventude,Ponte Preta,-,0,0
24,2003-08-06,Santos,Atletico-MG,-,3,3
24,2003-08-06,Goias,Vasco,Goias,3,1
24,2003-08-06,Cruzeiro,Sao Paulo,-,1,1
24,2003-08-07,Internacional,Coritiba,Internacional,1,0
24,2003-08-07,Flamengo,Bahia,Flamengo,6,0
24,2003-08-07,Corinthians,Figueirense,Figueirense,0,1
24,2003-08-07,Guarani,Gremio,Guarani,2,0
25,2003-08-09,Fluminense,Criciuma,-,1,1
25,2003-08-09,Sao Caetano,Cruzeiro,Sao Caetano,2,0
25,2003-08-09,Parana,Santos,Santos,1,2
25,2003-08-09,Sao Paulo,Juventude,Sao Paulo,3,1
25,2003-08-10,Paysandu,Goias,-,2,2
25,2003-08-10,Ponte Preta,Internacional,Internacional,1,4
25,2003-08-10,Coritiba,Flamengo,Coritiba,5,0
25,2003-08-10,Atletico-MG,Corinthians,Corinthians,2,3
25,2003-08-10,Figueirense,Vitoria,Vitoria,1,2
25,2003-08-10,Bahia,Fortaleza,Bahia,1,0
25,2003-08-10,Vasco,Guarani,-,0,0
25,2003-08-10,Gremio,Athletico-PR,-,1,1
26,2003-08-16,Vasco,Vitoria,Vasco,1,0
26,2003-08-16,Bahia,Internacional,Internacional,1,3
26,2003-08-16,Figueirense,Santos,Figueirense,1,0
26,2003-08-16,Coritiba,Juventude,Coritiba,1,0
26,2003-08-16,Atletico-MG,Athletico-PR,Athletico-PR,1,2
26,2003-08-16,Sao Paulo,Criciuma,-,0,0
26,2003-08-17,Paysandu,Corinthians,-,2,2
26,2003-08-17,Sao Caetano,Fortaleza,Sao Caetano,3,0
26,2003-08-17,Ponte Preta,Cruzeiro,Cruzeiro,1,3
26,2003-08-17,Parana,Guarani,-,0,0
26,2003-08-17,Gremio,Goias,Goias,0,1
26,2003-08-17,Fluminense,Flamengo,Flamengo,0,1
27,2003-08-20,Flamengo,Sao Caetano,Flamengo,1,0
27,2003-08-20,Goias,Parana,Goias,1,0
27,2003-08-20,Juventude,Bahia,Juventude,1,0
27,2003-08-20,Cruzeiro,Coritiba,-,2,2
27,2003-08-20,Athletico-PR,Figueirense,Figueirense,1,2
27,2003-08-20,Vitoria,Gremio,Vitoria,4,1
27,2003-08-20,Santos,Paysandu,Santos,2,0
27,2003-08-20,Fortaleza,Sao Paulo,Sao Paulo,0,2
27,2003-08-20,Corinthians,Vasco,-,0,0
27,2003-08-21,Internacional,Fluminense,Fluminense,0,1
27,2003-08-21,Guarani,Atletico-MG,-,2,2
27,2003-08-21,Criciuma,Ponte Preta,Criciuma,3,0
28,2003-08-23,Santos,Flamengo,Santos,2,1
28,2003-08-23,Athletico-PR,Fortaleza,Athletico-PR,3,1
28,2003-08-23,Goias,Cruzeiro,Goias,1,0
28,2003-08-23,Gremio,Sao Caetano,-,0,0
28,2003-08-24,Vasco,Sao Paulo,Vasco,3,2
28,2003-08-24,Paysandu,Ponte Preta,Paysandu,3,2
28,2003-08-24,Parana,Fluminense,Parana,2,0
28,2003-08-24,Vitoria,Juventude,Vitoria,3,0
28,2003-08-24,Guarani,Criciuma,Guarani,1,0
28,2003-08-24,Figueirense,Coritiba,Coritiba,1,2
28,2003-08-24,Corinthians,Internacional,Corinthians,3,1
28,2003-08-24,Atletico-MG,Bahia,Atletico-MG,1,0
29,2003-08-30,Fluminense,Gremio,Fluminense,2,0
29,2003-08-30,Fortaleza,Santos,-,0,0
29,2003-08-30,Internacional,Vitoria,Vitoria,0,1
29,2003-08-30,Cruzeiro,Guarani,Cruzeiro,4,1
29,2003-08-30,Sao Paulo,Paysandu,Sao Paulo,1,0
29,2003-08-31,Sao Caetano,Vasco,Sao Caetano,1,0
29,2003-08-31,Juventude,Goias,Goias,0,2
29,2003-08-31,Flamengo,Corinthians,Flamengo,1,0
29,2003-08-31,Bahia,Parana,Bahia,4,2
29,2003-08-31,Ponte Preta,Figueirense,-,1,1
29,2003-08-31,Criciuma,Athletico-PR,Criciuma,2,0
29,2003-08-31,Coritiba,Atletico-MG,-,2,2
30,2003-09-13,Santos,Criciuma,Santos,5,2
30,2003-09-13,Athletico-PR,Cruzeiro,Cruzeiro,1,4
30,2003-09-13,Gremio,Bahia,-,1,1
30,2003-09-13,Corinthians,Fortaleza,Corinthians,2,0
30,2003-09-14,Vitoria,Flamengo,Vitoria,1,0
30,2003-09-14,Figueirense,Sao Paulo,-,2,2
30,2003-09-14,Goias,Internacional,Goias,3,1
30,2003-09-14,Paysandu,Sao Caetano,Paysandu,1,0
30,2003-09-14,Guarani,Juventude,Guarani,2,0
30,2003-09-14,Parana,Coritiba,Coritiba,2,3
30,2003-09-14,Vasco,Fluminense,Vasco,1,0
30,2003-09-14,Atletico-MG,Ponte Preta,Atletico-MG,2,0
31,2003-09-20,Cruzeiro,Santos,Cruzeiro,3,0
31,2003-09-20,Coritiba,Gremio,Coritiba,1,0
31,2003-09-20,Ponte Preta,Parana,Ponte Preta,4,0
31,2003-09-20,Fluminense,Paysandu,-,1,1
31,2003-09-20,Internacional,Guarani,Internacional,2,0
31,2003-09-21,Bahia,Vasco,Bahia,3,0
31,2003-09-21,Criciuma,Corinthians,Criciuma,1,0
31,2003-09-21,Fortaleza,Vitoria,Fortaleza,1,0
31,2003-09-21,Juventude,Athletico-PR,Juventude,4,0
31,2003-09-21,Sao Caetano,Figueirense,Figueirense,0,2
31,2003-09-21,Sao Paulo,Atletico-MG,-,2,2
31,2003-09-21,Flamengo,Goias,-,1,1
32,2003-09-24,Athletico-PR,Internacional,Athletico-PR,2,1
32,2003-09-24,Gremio,Ponte Preta,-,2,2
32,2003-09-24,Goias,Fortaleza,Fortaleza,0,1
32,2003-09-24,Paysandu,Bahia,Paysandu,4,0
32,2003-09-24,Vitoria,Criciuma,-,1,1
32,2003-09-24,Guarani,Flamengo,Guarani,5,3
32,2003-09-24,Parana,Sao Paulo,Parana,4,2
32,2003-09-24,Santos,Juventude,-,1,1
32,2003-09-24,Corinthians,Cruzeiro,Cruzeiro,0,1
32,2003-09-25,Figueirense,Fluminense,-,2,2
32,2003-09-25,Vasco,Coritiba,Vasco,2,1
32,2003-09-25,Atletico-MG,Sao Caetano,Atletico-MG,3,1
33,2003-09-27,Internacional,Santos,Internacional,1,0
33,2003-09-27,Sao Paulo,Gremio,Sao Paulo,3,1
33,2003-09-27,Flamengo,Athletico-PR,Flamengo,2,1
33,2003-09-28,Cruzeiro,Vitoria,Cruzeiro,1,0
33,2003-09-28,Bahia,Figueirense,-,1,1
33,2003-09-28,Criciuma,Goias,Criciuma,1,0
33,2003-09-28,Fortaleza,Guarani,Fortaleza,3,0
33,2003-09-28,Juventude,Corinthians,Juventude,6,1
33,2003-09-28,Ponte Preta,Vasco,-,2,2
33,2003-09-28,Sao Caetano,Parana,Sao Caetano,2,0
33,2003-09-28,Fluminense,Atletico-MG,Atletico-MG,0,1
33,2003-09-28,Coritiba,Paysandu,Coritiba,1,0
34,2003-10-04,Athletico-PR,Fluminense,-,0,0
34,2003-10-04,Paysandu,Internacional,-,0,0
34,2003-10-04,Sao Caetano,Ponte Preta,Sao Caetano,1,0
34,2003-10-04,Gremio,Figueirense,Gremio,3,1
34,2003-10-04,Sao Paulo,Santos,Santos,1,2
34,2003-10-05,Vitoria,Corinthians,Corinthians,1,2
34,2003-10-05,Goias,Bahia,Goias,3,1
34,2003-10-05,Atletico-MG,Vasco,Atletico-MG,2,1
34,2003-10-05,Juventude,Fortaleza,-,2,2
34,2003-10-05,Guarani,Coritiba,Guarani,2,1
34,2003-10-05,Flamengo,Parana,Parana,0,3
34,2003-10-05,Criciuma,Cruzeiro,Cruzeiro,1,3
35,2003-10-08,Vasco,Juventude,-,1,1
35,2003-10-08,Fortaleza,Gremio,-,2,2
35,2003-10-08,Corinthians,Sao Caetano,Sao Caetano,0,3
35,2003-10-08,Coritiba,Goias,Coritiba,1,0
35,2003-10-08,Ponte Preta,Athletico-PR,-,2,2
35,2003-10-08,Santos,Guarani,-,1,1
35,2003-10-08,Bahia,Sao Paulo,Bahia,3,0
35,2003-10-08,Cruzeiro,Flamengo,Cruzeiro,2,0
35,2003-10-09,Parana,Paysandu,Parana,4,2
35,2003-10-09,Internacional,Criciuma,Internacional,2,0
35,2003-10-09,Fluminense,Vitoria,Fluminense,2,0
35,2003-10-09,Figueirense,Atletico-MG,Atletico-MG,0,1
36,2003-10-11,Athletico-PR,Coritiba,Athletico-PR,2,0
36,2003-10-11,Guarani,Ponte Preta,Ponte Preta,1,3
36,2003-10-11,Sao Caetano,Santos,-,2,2
36,2003-10-12,Atletico-MG,Cruzeiro,Cruzeiro,0,1
36,2003-10-12,Figueirense,Criciuma,Figueirense,4,2
36,2003-10-12,Sao Paulo,Corinthians,Sao Paulo,3,0
36,2003-10-12,Vitoria,Bahia,Vitoria,2,1
36,2003-10-12,Goias,Fluminense,Goias,6,1
36,2003-10-12,Juventude,Parana,-,1,1
36,2003-10-12,Flamengo,Vasco,Flamengo,2,1
36,2003-10-12,Internacional,Gremio,Gremio,0,1
36,2003-10-15,Paysandu,Fortaleza,Paysandu,3,0
37,2003-10-18,Goias,Sao Paulo,Goias,3,1
37,2003-10-18,Guarani,Fluminense,Guarani,2,0
37,2003-10-18,Flamengo,Paysandu,Flamengo,2,0
37,2003-10-18,Gremio,Atletico-MG,-,2,2
37,2003-10-18,Coritiba,Bahia,Coritiba,3,2
37,2003-10-19,Parana,Internacional,Parana,4,0
37,2003-10-19,Santos,Athletico-PR,Santos,3,2
37,2003-10-19,Criciuma,Vasco,Criciuma,2,1
37,2003-10-19,Fortaleza,Figueirense,-,1,1
37,2003-10-19,Vitoria,Sao Caetano,-,0,0
37,2003-10-19,Corinthians,Ponte Preta,Corinthians,3,0
37,2003-10-19,Cruzeiro,Juventude,Juventude,1,2
38,2003-10-22,Ponte Preta,Goias,Goias,0,2
38,2003-10-22,Sao Caetano,Coritiba,Sao Caetano,2,0
38,2003-10-22,Athletico-PR,Vitoria,Vitoria,1,2
38,2003-10-22,Figueirense,Flamengo,-,0,0
38,2003-10-22,Fluminense,Corinthians,Fluminense,1,0
38,2003-10-22,Internacional,Cruzeiro,Internacional,1,0
38,2003-10-22,Bahia,Santos,Santos,4,7
38,2003-10-23,Sao Paulo,Guarani,-,3,3
38,2003-10-23,Atletico-MG,Parana,-,2,2
38,2003-10-23,Juventude,Gremio,Gremio,1,2
38,2003-10-23,Vasco,Fortaleza,-,1,1
38,2003-10-23,Paysandu,Criciuma,Paysandu,4,0
39,2003-10-25,Coritiba,Santos,Santos,0,4
39,2003-10-25,Bahia,Fluminense,-,2,2
39,2003-10-25,Ponte Preta,Vitoria,-,1,1
39,2003-10-25,Cruzeiro,Figueirense,Cruzeiro,1,0
39,2003-10-26,Sao Caetano,Sao Paulo,Sao Paulo,0,1
39,2003-10-26,Parana,Vasco,-,3,3
39,2003-10-26,Goias,Guarani,Goias,3,0
